rule_id,rule_name,description,implemented_in,function,n8n_node,affected_inputs,expected_result,criticality,tests,duplicated,duplicate_locations,risk_if_changed,evidence_type,evidence_location,notes
BR-001,REGLA A - Exclusion ALQUILERES,"Toda linea CI cuya columna BANCO indique ALQUILERES se excluye del asiento, del universo de cuadre y de toda validacion de cuenta/asignacion/formato; se conserva por separado agrupada por SFC para ajustar el HABER.",motor_tiquipaya.py,validar_ci(),N/A (no hay nodo n8n propio; corre dentro de EJECUTAR - Motor Python),cierre['comunicaciones_internas'][*].banco/importe,alquileres excluidos de asiento; HABER SFCxxx = TOTAL SFCxxx - ALQUILERES de ese SFC,CRITICA,"tests/test_cruces.py, tests/test_asiento.py",NO,,"ALTO: si se relaja, se generarian partidas ALQUILERES en el asiento (viola REGLA A explicita) o el cuadre incluiria un universo distinto",CONFIRMADO_POR_CODIGO,"motor_tiquipaya.py:377-458,809-822",
BR-002,REGLA B - Comision ATC Tiquipaya (110201003 vs 110201008),La cuenta 110201003 NO esta prohibida globalmente; solo es invalida cuando la PARTIDA tiene origen ATC_COMISION (debe usar 110201008). Una CI legitima puede usar 110201003 sin problema.,"motor_tiquipaya.py, sap_writer.py","_validar_partidas() [motor], _validar_precondiciones() [sap_writer]",N/A,partida.origen + partida.cuenta_mayor,ATC_COMISION_CUENTA_INVALIDA si origen=ATC_COMISION y cuenta!=110201008; ATC_COMISION_CUENTA_PROHIBIDA en sap_writer como defensa adicional,CRITICA,"tests/test_asiento.py, tests/test_sap.py","SI (intencional, defensa en profundidad)","motor_tiquipaya.py:1012-1013; sap_writer.py:68-72,182-183","MUY_ALTO: si se ampliara la prohibicion a NIVEL DE CUENTA (cualquier partida con 110201003), bloquearia incorrectamente CI legitimas que usan esa cuenta",CONFIRMADO_POR_MULTIPLES_FUENTES,motor_tiquipaya.py; sap_writer.py; HANDOFF s10 texto de la auditoria,"Verificado explicitamente: NO esta implementada de forma excesivamente amplia (la prohibicion se filtra siempre por origen=='ATC_COMISION', nunca por la sola presencia de la cuenta)."
BR-003,REGLA C - Correcciones autorizadas (campos permitidos),Solo son corregibles: CI.cuenta_contable/asignacion; VOUCHER.codigo_informado (solo entre candidatos ya propuestos por el motor); ATC.*_cuenta_contable/*_asignacion (solo modo PRECONCILIADO). Ningun importe es corregible jamas.,correcciones_tiquipaya.py,"CAMPOS_CORREGIBLES, validar_schema_correccion(), _validar_candidato_voucher()",n8n: FASE3 - Webhook POST corregir / Campos corregibles (Python),correccion.categoria/campo_corregido/valor_autorizado,ValueError CORRECCION_CAMPO_NO_CORREGIBLE si el campo no esta en la lista; CORRECCION_CANDIDATO_INVALIDO si el VOUCHER no es uno de los candidatos propuestos,CRITICA,tests/test_correcciones_tiquipaya.py (17 tests),NO,,MUY_ALTO: permitir corregir un importe romperia el principio de que el motor Python es la unica autoridad contable determinística,CONFIRMADO_POR_CODIGO,correcciones_tiquipaya.py:75-96,"HANDOFF_CODE_V2.md s16.3 (doc) incluye 'glosa' como corregible para CI; el CODIGO (fuente real, la que consulta n8n) NO lo incluye. Ver V2_RISKS.csv/hallazgo de documentacion."
BR-004,REGLA D - Original .xlsm inmutable,El archivo CIERRE .xlsm original nunca se abre en modo escritura ni se modifica; toda correccion se aplica EN MEMORIA sobre una copia profunda (deepcopy) de lo ya leido.,"excel_io.py, correcciones_tiquipaya.py","leer_cierre() (siempre read_only=True), aplicar_correccion_en_memoria() (deepcopy)",N/A,cierre (dict) leido por excel_io.py,cierre_corregido es una copia; el .xlsm en disco permanece byte-identico,CRITICA,"tests/test_correcciones_tiquipaya.py, tests/test_pipeline_tiquipaya.py",NO,,"MUY_ALTO: si se abriera en modo escritura, se perderia la trazabilidad/reproducibilidad del original y violaria un principio de auditoria contable",CONFIRMADO_POR_CODIGO,excel_io.py:404-419; correcciones_tiquipaya.py:334-376,
BR-005,REGLA D-extendida - Plantilla SAP / SAP diarios inmutables,"La plantilla SAP maestra nunca se abre en modo escritura (se copia con shutil.copyfile); los SAP diarios ya validados se abren SIEMPRE read_only=True,data_only=True en consolidador_mensual.py/control_asignaciones.py/control_cxc_cxp.py.","sap_writer.py, consolidador_mensual.py, control_asignaciones.py, control_cxc_cxp.py","generar_sap() (verifica hash antes/despues), leer_partidas_global() en cada CONTROL",N/A,"ruta_plantilla, ruta_global",hash de la plantilla identico antes/despues; PLANTILLA_ORIGINAL_MODIFICADA si no,CRITICA,"tests/test_sap.py, tests/test_consolidador_mensual.py, tests/test_control_asignaciones.py, tests/test_control_cxc_cxp.py",NO,,MUY_ALTO,CONFIRMADO_POR_MULTIPLES_FUENTES,sap_writer.py:256-278; HANDOFF s13-15,
BR-006,REGLA E - Idempotencia por SHA256,El HashOrigen (SHA256 del .xlsm) es la UNICA llave de idempotencia; el nombre de archivo nunca es suficiente. PROCESADO_<SHA256>.json es el control autoritativo en produccion (CSV es legacy/fallback).,"pipeline_tiquipaya.py, run_batch.py","calcular_sha256(), nombre_marcador_procesado(), cargar_marcadores_procesados()","N/A (Google Drive nodes materializan los marcadores, Python solo los lee/construye)",ruta_cierre (archivo),YA_PROCESADO si el hash ya figura con Estado=PROCESADO en marcadores o CSV,CRITICA,"tests/test_pipeline_tiquipaya.py, tests/test_run_batch.py, tests/test_batch.py",NO,,MUY_ALTO: sin esto se podria reprocesar/republicar un cierre duplicando el asiento contable,CONFIRMADO_POR_CODIGO,"pipeline_tiquipaya.py:76-84,490-541; run_batch.py:189-262",
BR-007,REGLA F - Procesar y publicar son responsabilidades separadas,"procesar_cierre_completo() NUNCA marca PROCESADO ni publica nada; el marcador PROCESADO_<SHA256>.json solo se construye tras 4 confirmaciones explicitas externas (SAP publicado por usuario, SAP verificado en Drive, resultado publicado, cierre movido). Un cierre BLOQUEADO/ERROR nunca llega a publicacion.",pipeline_tiquipaya.py,construir_marcador_procesado(),n8n: CONFIRMAR - Aprobacion del auditor (Wait+Form) + rama de publicacion (BUSCAR/SUBIR/MOVER Drive),las 4 confirmaciones booleanas,ValueError MARCADOR_NO_AUTORIZADO si falta alguna,CRITICA,"tests/test_pipeline_tiquipaya.py, tests/test_publicar_cierre.py",NO,,MUY_ALTO: es el control que impide publicar automaticamente un cierre que requiere revision humana,CONFIRMADO_POR_MULTIPLES_FUENTES,pipeline_tiquipaya.py:498-541; n8n workflow LkS0RHu9KEbHCR4p (rama OK->CONFIRMAR->publicacion),"En el wiring n8n del POC, las 4 confirmaciones se pasan hardcodeadas 'true' en el Execute Command porque la rama solo llega ahi si SUBIR SAP/SUBIR RESULTADO/MOVER ya tuvieron exito (n8n detiene la rama en el primer fallo). Ver V2_RISKS.csv."
BR-008,REGLA G - Busqueda EXACTA del cierre en Drive (incidente real corregido),"Al buscar el cierre del dia en 00_ENTRADA_CIERRES/04_SALIDAS/03_PROCESADOS, una coincidencia exacta usa ese ID; 0 coincidencias -> CIERRE_NO_LOCALIZADO_EN_00_ENTRADA; >1 coincidencia exacta -> CIERRE_AMBIGUO_EN_00_ENTRADA. NUNCA se toma el primer resultado de una busqueda con multiples coincidencias.",n8n (Google Drive 'search'/'list' + IF/Switch posteriores),"N/A (logica de nodos, no Python)",BUSCAR - Cierre del dia en Drive; BUSCAR - Carpeta del mes en 04_SALIDAS/03_PROCESADOS; FASE3 - Buscar cierre en 00_ENTRADA_CIERRES (publicar),nombre de archivo buscado en Drive,"exactamente 1 coincidencia -> continua; 0 o >1 -> estado explicito, nunca 'primer resultado'",CRITICA,"Sin test automatizado (logica vive en n8n, no en Python; no hay harness de test para nodos n8n en este repo)",NO,,MUY_ALTO: reintroducir 'tomar el primer resultado' repetiria el incidente real documentado (cierre 09 tomado en vez del correcto entre 11/10/09),REQUIERE_VALIDACION_HUMANA,n8n workflow LkS0RHu9KEbHCR4p (nodos BUSCAR-*/IF-* de Google Drive); no se pudo leer el parametro exacto del filtro Drive en esta pasada de auditoria,"La existencia de la regla esta confirmada por el propio contexto de la auditoria (incidente real) y por la estructura de nodos IF inmediatamente despues de cada BUSCAR en el workflow; el detalle EXACTO del filtro/expresion de cada nodo Google Drive no fue releido linea por linea en esta pasada (ver limitaciones en V2_SYSTEM_MAP.md). Clasificado REQUIERE_VALIDACION_HUMANA por esa razon, no porque haya evidencia de que la regla NO este implementada."
BR-009,Autocorreccion VOUCHER: 0<->O si y AUTOCORRECCION_0_O,"Unica autocorreccion automatica permitida: intercambiar digito '0' por letra 'O' (o viceversa) en el codigo de asignacion del voucher, solo si produce UN candidato inequivoco con importe exacto.",motor_tiquipaya.py,"_variantes_0_o(), _clasificar_voucher()",N/A,codigo_informado del deposito,AUTOCORRECCION_0_O si 1 candidato; MULTIPLE si >1,ALTA,tests/test_cruces.py,NO,,ALTO,CONFIRMADO_POR_CODIGO,motor_tiquipaya.py:62-143,
BR-010,POSIBLE_TYPO: O<->P y similares NUNCA autocorrigen,Un codigo con distancia de Hamming 1-2 (excluyendo el caso 0<->O ya cubierto) contra un candidato de igual importe se marca POSIBLE_TYPO y queda bloqueante: nunca se autocorrige.,motor_tiquipaya.py,"_clasificar_voucher() paso 3, _hamming_o_none()",N/A,codigo_informado,"POSIBLE_TYPO (bloqueante, requiere revision humana via correccion)",ALTA,tests/test_cruces.py,NO,,MUY_ALTO: autocorregir aqui automaticamente introduciria riesgo de asignar un pago al codigo equivocado sin intervencion humana,CONFIRMADO_POR_CODIGO,motor_tiquipaya.py:145-162,
