node_id,node_name,path,node_type,current_function,business_importance,criticality,business_rules,dependencies,test_protection,main_problem,optimization_opportunity,risk_of_change,recommended_v3_action,v3_migration_strategy,priority,estimated_effort,requires_business_decision,evidence,comments
PY-EXCELIO-MOD,excel_io.py (modulo),excel_io.py,DATA_ARTIFACT,"Capa de lectura determinística SOLO LECTURA de CIERRE/MACROS/ATC via openpyxl(read_only=True,data_only=True). Nunca cruza, nunca cuadra, nunca escribe.",ALTA,CRITICA,"Fecha de cierre SIEMPRE del NOMBRE de archivo, nunca de config regional; MACROS=hoja EXACTA 'Tablas Dinamicas Profesional'",openpyxl,Cubierto indirectamente por casi toda la suite (via motor_tiquipaya); no tiene tests unitarios propios dedicados solo a excel_io,Sin tests unitarios propios (test_pipeline/test_asiento la ejercitan solo indirectamente via fixtures xlsx_fixtures.py),,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,excel_io.py:1-767,
PY-EXCELIO-LEERCIERRE,leer_cierre(),excel_io.py,CODE_NODE,Lee SFC101/SFC102 (resumen+depositos) y Comunicaciones Internas de ambos SFC; UNA sola apertura de archivo,ALTA,CRITICA,,"openpyxl, normalize_text/normalize_compact, _fecha_iso, to_decimal/money_str","tests/test_pipeline_tiquipaya.py, tests/test_asiento.py, tests/xlsx_fixtures.py (fixtures sintéticas)",,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,excel_io.py:381-427,
PY-EXCELIO-MACROS,leer_macros_bnb(),excel_io.py,CODE_NODE,Indexa MACROS mensual (hoja EXACTA 'Tablas Dinamicas Profesional') por_codigo/por_importe; descarta filas de encabezado repetidas por CONTENIDO,ALTA,CRITICA,MACROS se usa unicamente para vouchers y NETO de ATC; CI NUNCA usa MACROS,"openpyxl, normalize_codigo",,"Si el nombre exacto de hoja cambia (typo, mayus/minus con tilde no normalizada por _find), falla con ValueError explicito (fail-closed, no silencioso)",,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,excel_io.py:459-542,
PY-EXCELIO-ATC,leer_atc_mensual(),excel_io.py,CODE_NODE,"Detecta modo LEGADO vs PRECONCILIADO por NOMBRE de hoja ('ATC TIQUIPAYA'), nunca por flag explicito",ALTA,CRITICA,"ATC preconciliado NUNCA se vuelve a cruzar contra MACROS; fila NETO/COMISION duplicada en la misma fecha = excepcion explicita, nunca se suma",openpyxl,,,,ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,excel_io.py:571-750,
PY-MOTOR-MOD,motor_tiquipaya.py (modulo),motor_tiquipaya.py,BUSINESS_RULE,"ETAPAS 1-5: cruces (vouchers/ATC/CI), universo+ALQUILERES+componentes+cuadre, construccion del asiento CARGO/HABER. Corazon contable determinístico del sistema.",ALTA,CRITICA,,excel_io.py,"tests/test_cruces.py, test_asiento.py, test_atc_preconciliado.py, test_usd_caja_me.py, test_texto_posicion_fecha_valor.py, test_excepciones.py, test_excepciones_atc_asiento.py, test_regresion_sintetica.py (~110 tests en total)",,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:1-1344,
PY-MOTOR-VOUCHERS,cruzar_vouchers()/_clasificar_voucher(),motor_tiquipaya.py,BUSINESS_RULE,"Match VOUCHER<->MACROS: MATCH_EXACTO, AUTOCORRECCION_0_O (unica auto-correccion permitida), MULTIPLE, POSIBLE_TYPO (1-2 chars, nunca autocorrige), NO_ENCONTRADO",ALTA,CRITICA,0<->O es la UNICA autocorreccion automatica; O<->P NUNCA autocorrige (POSIBLE_TYPO/bloqueante),excel_io.normalize_codigo,tests/test_cruces.py,,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:93-196,
PY-MOTOR-ATC-LEGADO,cruzar_atc(),motor_tiquipaya.py,BUSINESS_RULE,"ATC legado: NETO+COMISION=BRUTO del cierre, luego NETO<->MACROS por importe exacto + fecha bancaria >= fecha cierre (nunca anterior)",ALTA,ALTA,"ATC BRUTO=0.00 => ATC_NO_APLICA, NUNCA excepcion",,tests/test_cruces.py,,,ALTO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:203-281,
PY-MOTOR-ATC-PRECONC,cruzar_atc_preconciliado(),motor_tiquipaya.py,BUSINESS_RULE,ATC ya conciliado (hoja ATC TIQUIPAYA): cuenta/detalle/monto/asignacion literales; NUNCA cruza contra MACROS; unico control NETO+COMISION=BRUTO,ALTA,ALTA,Asignacion 'REVISAR' en ATC NUNCA bloquea; se conserva literal + advertencia ATC_ASIGNACION_REVISAR,,tests/test_atc_preconciliado.py,,,ALTO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:301-365,
PY-MOTOR-VALIDARCI,validar_ci(),motor_tiquipaya.py,BUSINESS_RULE,Valida cuenta/asignacion/importe>=0 de cada CI; separa ALQUILERES por SFC (REGLA A) sin validar formato de esas filas,ALTA,CRITICA,"REGLA A - ALQUILERES: excluidas del asiento y del universo de cuadre, se conservan separadas por SFC",excel_io.normalize_text,"tests/test_cruces.py, tests/test_asiento.py",,,MUY_ALTO,KEEP,REUSE_AS_IS,P0,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,motor_tiquipaya.py:372-458,
PY-MOTOR-EXCEPCIONES,_excepciones_voucher/_ci/_atc/_atc_asiento(),motor_tiquipaya.py,BUSINESS_RULE,"FASE 1: reempaqueta (sin recalcular) el detalle de vouchers/ci/atc en excepciones[] estructuradas con motivo_legible, para consumo del modulo de revision/correccion",ALTA,ALTA,,,"tests/test_excepciones.py, tests/test_excepciones_atc_asiento.py",,,MEDIO,KEEP,REUSE_AS_IS,P1,N/D (fuera de alcance de esta auditoria: solo diagnostico),NO,"motor_tiquipaya.py:462-573,1020-1053","Podria parecer que 'duplica' informacion ya en vouchers/ci/atc, pero es una REEMPAQUETADURA deliberada para un consumidor distinto (UI de correccion), no un recalculo: ver comentario explicito del propio codigo."
