scenario_id,contract,description,input,v2_expected_behavior,v3_expected_behavior,files_results_compared,pass_fail_criteria,test_function,evidence_status,notes
PARITY-001,CONTRACT-001,Exclusion de ALQUILERES del asiento y del cuadre,"Cierre con 1 CI banco=ALQUILERES (50.00) + 1 CI normal (100.00), universo=150.00",universo_ajustado=100.00 (150-50); ninguna partida origen=ALQUILERES en el asiento; estado OK,"IMPLEMENTADO (FASE 5, Modulo 03): v3.motor.ejecutar_motor_cierre() invoca pipeline_tiquipaya.procesar_cierre_completo() (el MISMO codigo V2); mismo universo_ajustado/alquileres/diferencia que el oraculo","resultado_v2['alquileres'], resultado_v2['universo_ajustado'], asiento['partidas'][*].origen",PASS si universo_ajustado y ausencia de ALQUILERES coinciden byte-a-byte (Decimal) entre V2 y V3,test_PARITY_001_contract_001_alquileres_excluidos,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-002,CONTRACT-002,Cuenta 110201003 valida salvo en partidas ATC_COMISION,Partida origen=ATC_COMISION con cuenta_mayor invalida; y partida origen=CI con cuenta_mayor=110201003,ATC_COMISION con cuenta!=110201008 -> problema ATC_COMISION_CUENTA_INVALIDA; CI con 110201003 -> sin problema,"IMPLEMENTADO (FASE 5, Modulo 03): v3.motor reproduce el mismo escenario end-to-end (CI con 110201003 nunca bloqueada) via el adaptador sobre motor_tiquipaya.py real",motor._validar_partidas() -> lista de problemas,PASS si el conjunto de 'problemas' coincide para ambos casos,test_PARITY_002_contract_002_comision_atc_cuenta,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-003,CONTRACT-003,Cargo = Haber siempre que el asiento este OK,"Cierre vacio balanceado (universo=0.00 ambos SFC, sin vouchers/CI/ATC/USD)","resultado_v2.estado=OK, diferencia=0.00; asiento.estado=OK, total_cargo=total_haber=0.00","IMPLEMENTADO (FASE 5, Modulo 03): v3.motor sobre el mismo fixture cierre_vacio_paths; cargo==haber y diferencia=0 tambien via el adaptador","resultado_v2['diferencia'], asiento['total_cargo'], asiento['total_haber'], asiento['estado']",PASS si total_cargo==total_haber y estado==OK en ambos,test_PARITY_003_contract_003_cargo_igual_haber,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-004,CONTRACT-004,Reglas SAP: columnas autorizadas + plantilla nunca modificada,Asiento OK minimo + plantilla SAP sintetica,estado_sap=OK; SHA256 de la plantilla identico antes/despues de generar_y_validar_sap,"IMPLEMENTADO (FASE 5, Modulo 03): v3.motor invoca sap_writer.generar_y_validar_sap() (via pipeline); plantilla ORIGEN verificada byte-identica tambien en el camino V3",sap_writer.generar_y_validar_sap()['estado_sap']; SHA256(plantilla) antes/despues,PASS si estado_sap==OK y el hash de la plantilla no cambia en ninguna de las dos implementaciones,test_PARITY_004_contract_004_sap_columnas_y_plantilla,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-005,CONTRACT-005,Original .xlsm nunca se modifica (ni lectura ni correccion en memoria),Cierre vacio balanceado; se lee 2 veces (ejecutar_v2 + leer_cierre/leer_macros/leer_atc sueltos),SHA256 del .xlsm identico antes y despues de cualquier operacion de lectura/correccion en memoria,"IMPLEMENTADO (FASE 5, Modulo 02): v3.materializacion.materializar_cierre() copia (shutil.copyfile, solo lectura del origen) hacia base_dir_dev; mismo hash antes/despues tambien via V3, y la copia DEV es byte-identica al original",SHA256(ruta_cierre) antes/despues; SHA256 de la copia DEV,"PASS si el hash del .xlsm nunca cambia, en ninguna implementacion",test_PARITY_005_contract_005_original_inmutable,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,"FASE 5 (Modulo 02 MATERIALIZACION): v3/materializacion.py implementa y ejercita este contrato de forma independiente ademas de la comparacion directa de este test (copyfile de solo lectura sobre cierre/maestro/plantilla, nunca move/rename/delete del origen; limpieza de directorio DEV con verificacion explicita de contencion de rutas). Cubierto tambien por 16/16 tests_v3/test_materializacion.py (incl. hash identico antes/despues e imposibilidad de limpiar fuera de base_dir)."
PARITY-006,CONTRACT-006,Campos corregibles COMUNICACION_INTERNA: importe NUNCA,"correccion con categoria=COMUNICACION_INTERNA, campo_corregido=importe","ValueError CORRECCION_CAMPO_NO_CORREGIBLE (rechazo total, no se aplica nada)","IMPLEMENTADO (FASE 5, Modulo 05): v3.revision invoca correcciones_tiquipaya.validar_schema_correccion() (la MISMA funcion); rechaza importe igual que V2",excepcion levantada por validar_schema_correccion(),PASS si ambas implementaciones rechazan con CORRECCION_CAMPO_NO_CORREGIBLE,test_PARITY_006_contract_006_ci_importe_no_corregible,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-007,CONTRACT-007,Campos corregibles VOUCHER: importe NUNCA,"correccion con categoria=VOUCHER, campo_corregido=importe",ValueError CORRECCION_CAMPO_NO_CORREGIBLE,"IMPLEMENTADO (FASE 5, Modulo 05): mismo rechazo via el adaptador v3.revision para VOUCHER",excepcion levantada por validar_schema_correccion(),PASS si ambas implementaciones rechazan igual,test_PARITY_007_contract_007_voucher_importe_no_corregible,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-008,CONTRACT-008,Idempotencia por SHA256 (no por nombre de archivo),Mismo cierre publicado 2 veces via v3.publicacion; 2da vez con el marcador ya existente en publicacion/markers/,"1ra corrida: VALIDADO_PENDIENTE_PUBLICACION + SAP generado. 2da corrida: YA_PROCESADO, CERO regeneracion de SAP","IMPLEMENTADO (FASE 5, Modulo 06): v3.publicacion.publicar_cierre_dev() sobre el mismo cierre 2 veces: 1ra=PUBLICADO (copia SAP/resultado/procesado + marker), 2da=YA_PUBLICADO, CERO duplicacion (mismo mtime del SAP publicado)",resultado['estado']/estado_publicacion; existencia y mtime del archivo SAP tras la 2da corrida,PASS si la 2da corrida es YA_PROCESADO/YA_PUBLICADO y no crea/toca el SAP,test_PARITY_008_contract_008_idempotencia_sha256,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-009,CONTRACT-009,Marcador PROCESADO_<SHA256>.json solo con las 4 confirmaciones,resultado_json valido; 4 confirmaciones=True (caso OK) y 1 confirmacion=False (caso rechazo),"Caso OK: marcador construido con Estado=PROCESADO. Caso rechazo: ValueError MARCADOR_NO_AUTORIZADO, nada construido","IMPLEMENTADO (FASE 5, Modulo 06): v3.publicacion.publicar_cierre_dev() llama a la MISMA pipeline.construir_marcador_procesado(); el marcador escrito en DEV coincide byte-a-byte con el que esa funcion real produce; sin rutas de sap/resultado, V3 tampoco construye ningun marcador",nombre_archivo/contenido devueltos; contenido de PROCESADO_<hash>.json escrito en disco; excepcion/ausencia de marker en el caso de rechazo,"PASS si el marcador solo se construye con las 4 confirmaciones True, en ambas implementaciones",test_PARITY_009_contract_009_marcador_4_confirmaciones,V2_VERIFICADO_HOY / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,
PARITY-010,CONTRACT-010,REGLA G: busqueda EXACTA (1/0/>1 coincidencias),3 casos: 1 coincidencia exacta; 0 coincidencias; >1 coincidencias exactas (incidente real 09/10/11),1->ENCONTRADO; 0->CIERRE_NO_LOCALIZADO_EN_00_ENTRADA; >1->CIERRE_AMBIGUO_EN_00_ENTRADA; NUNCA 'primer resultado',IMPLEMENTADO (FASE 5): v3/ingesta.buscar_cierre_exacto() reproduce el mismo veredicto que la especificacion para los 3 casos (1/0/>1),codigo de estado devuelto por la busqueda (n8n hoy; regla_g_reference.py como especificacion),PASS si V2 (n8n) y V3 producen el mismo veredicto para los 3 casos; FAIL si alguno 'toma el primero' en el caso >1,test_PARITY_010_contract_010_regla_g_busqueda_exacta,V2_ESPECIFICACION / V3_IMPLEMENTADO_Y_VERIFICADO_HOY,V2 real vive en nodos n8n sin test propio (BR-008/T-021); este escenario define el contrato ejecutable de referencia por primera vez. | FASE 5: modulo 01 INGESTA implementado en v3/ingesta.py; PARITY-010 paso de SKIPPED a PASSED (primera comparacion V2-vs-V3 real y verde del arnes). El lado n8n (Code JS en CanZtkmnm0ukAC8c) replica esta misma logica; su sincronizacion se verifica manualmente.
