step,component,input,operation,output,disk_read,disk_write,recalculation,duplicate_processing,manual_dependency,fragility,possible_optimization,risk,evidence,notes
0,n8n: Trigger (Manual o Formulario),fecha_inicio/fecha_fin (formulario) o parametros fijos (manual),Recibe el disparo y arma PARAMETROS iniciales,dict de parametros,NO,NO,NO,NO,SI (usuario dispara manualmente),BAJA,,BAJO,n8n LkS0RHu9KEbHCR4p: INICIO - Procesar cierres / (Formulario),
1,n8n: GENERAR - Fechas del rango + BUSCAR/IF/DESCARGAR - Cierre del dia en Drive,rango de fechas,"Genera lista de fechas, busca CADA cierre en Drive por nombre EXACTO (REGLA G), descarga si existe",binario .xlsm por dia + IF - Encontrado en Drive,SI (Drive),"SI (local, ESCRIBIR - Cierre a disco)",NO,NO,NO,MEDIA (depende de que el nombre en Drive siga el patron 'CIERRE DD-MM-YYYY.xlsm'),,MEDIO (BR-008),"n8n: GENERAR - Fechas del rango, BUSCAR/IF/DESCARGAR/ESCRIBIR - Cierre del dia",
2,n8n: MATERIALIZACION (Maestro/Plantilla/Marcadores),carpeta del mes en Drive,"Busca y descarga UNA VEZ el maestro mensual (MACROS+ATC), la plantilla SAP y los marcadores PROCESADO existentes","3 archivos locales (maestro, plantilla, marcadores)","SI (Drive, 1 vez cada uno por corrida, NO por cierre)",SI (local),NO,NO,NO,"MEDIA (rutas/nombres de carpeta rigidos: 04_SALIDAS, 03_PROCESADOS, etc.)",,MEDIO,n8n: BUSCAR/DESCARGAR/ESCRIBIR - Maestro/Plantilla/Marcador; HANDOFF s12,
3,excel_io.leer_cierre(),CIERRE DD-MM-YYYY.xlsm (local),"Lee SFC101/SFC102 + CI, UNA sola apertura, read_only",dict normalizado en memoria,SI (1 vez por cierre),NO,NO,NO,NO,"ALTA: busca hojas/columnas por texto normalizado, no por posicion; ya defensivo",,MEDIO,excel_io.py:381-427,
4,excel_io.leer_macros_bnb() + leer_atc_mensual(),"maestro mensual (local, reutilizado)","Indexa MACROS (por_codigo/por_importe) y detecta+indexa ATC (LEGADO/PRECONCILIADO); UNA apertura por cierre (ver optimizacion no aprovechada, ejecutar_lote_v2)",2 indices en memoria por cierre,"SI (1 vez por CIERRE, no 1 vez por BATCH: ver hallazgo)",NO,NO,"SI — el maestro se REABRE una vez por cada cierre del rango (pipeline_tiquipaya.procesar_cierre_completo llama motor.ejecutar_v2 que abre maestro de nuevo), aunque el CONTENIDO no cambia entre cierres del mismo batch",NO,BAJA (nombre exacto de hoja: 'Tablas Dinamicas Profesional'/'ATC TIQUIPAYA'),"motor_tiquipaya.ejecutar_lote_v2() YA EXISTE y evitaria esto, pero run_batch.py no la usa (ver PY-MOTOR-LOTE en V2_NODES.csv)","MEDIO (rendimiento, no correccion contable)","excel_io.py:459-750; motor_tiquipaya.py:766-800,1262-1334; run_batch.py:299-310","Este es el hallazgo de 'procesamiento repetido' mas concreto de toda la auditoria: N cierres en un batch producen N aperturas completas del maestro mensual (MACROS+ATC), cuando ejecutar_lote_v2() ya resuelve esto y no se usa."
5,motor_tiquipaya (cruces ETAPA3),cierre + macros_idx + atc_idx,cruzar_vouchers/cruzar_atc(_preconciliado)/validar_ci,vouchers/atc/ci + excepciones[],NO (todo en memoria),NO,NO,NO,NO,"BAJA (logica pura, bien testeada)",,BAJO,motor_tiquipaya.py:172-628,
6,motor_tiquipaya (ETAPA4 cuadre),cruces,calcular_universo/calcular_componentes + cuadre + clasificacion de estado,resultado_v2 (OK/DIFERENCIA/BLOQUEADO_EXCEPCION/...),NO,NO,NO,NO,NO,BAJA,,BAJO,motor_tiquipaya.py:640-905,
7,motor_tiquipaya.construir_asiento() (ETAPA5),resultado_v2,Arma partidas CARGO/HABER solo si OK+0 excepciones+diferencia=0,asiento,NO,NO,NO,NO,NO,BAJA,,MUY_ALTO (es el nucleo contable),motor_tiquipaya.py:1056-1249,
8,sap_writer.generar_y_validar_sap() (ETAPA6),asiento + plantilla,"copia plantilla, escribe, guarda, REABRE desde disco, valida celda a celda",SAP_<fecha>.xlsx + resumen validacion,"SI (plantilla, 1 vez; + reapertura de la salida para validar = 2da lectura completa)",SI (.xlsx nuevo),"NO (la reapertura es VALIDACION, no recalculo de negocio)",NO,NO,"BAJA (valida contra disco real, no confia en memoria — diseño deliberado, no defecto)",,ALTO,sap_writer.py:244-481,
9,pipeline_tiquipaya.procesar_cierre_completo() (ETAPA7),todo lo anterior + hashes_procesados,"Idempotencia SHA256, arma resultado_json + manifiesto de acciones (SUBIR_SAP/SUBIR_RESULTADO/ACTUALIZAR_CONTROL/MOVER_CIERRE)",resultado_json + acciones_requeridas[],"SI (calcula SHA256 leyendo el .xlsm completo de nuevo: 2da lectura completa del archivo, la 1ra fue en excel_io.leer_cierre via openpyxl)","SI (si --resultados-dir, escribe RESULTADO_TIQ_*.json)",NO,"SI (lectura binaria completa para SHA256, ademas de la lectura via openpyxl)",NO,BAJA,Podria calcularse el SHA256 en la MISMA pasada que abre el archivo para openpyxl (streaming hash) en vez de una segunda lectura completa del binario; ganancia marginal salvo archivos muy grandes.,BAJO (mejora de rendimiento menor),"pipeline_tiquipaya.py:76-83,284-388",
10,n8n: DECIDIR - Estado del cierre (Switch),resumen_estados del batch,Prioridad ERROR TECNICO > REVISAR > OK > SIN ACCION (Sticky Note 3a393b14),rama OK/REVISAR/SIN ACCION/ERROR TECNICO,NO,NO,NO,NO,NO,BAJA (regla explicita y testeada via el propio motor),,ALTO,n8n: DECIDIR - Estado del cierre,
11,n8n: rama OK -> resumen auditor -> CONFIRMAR - Aprobacion (Wait+Form),cierres OK del batch,Arma resumen legible y ESPERA aprobacion humana (REGLA F),aprobado/rechazado,SI (lee RESULTADO_TIQ_*.json de cada cierre listo),NO,NO,NO,"SI (aprobacion humana explicita, por diseño)",BAJA,,MUY_ALTO (BR-007),"n8n: PREPARAR/LEER/INTERPRETAR/COMBINAR - ...listos, CONSTRUIR - Resumen auditor, CONFIRMAR - Aprobacion del auditor",
12,"n8n: rama REVISAR -> excepciones -> CONFIRMAR - Revision (Wait+Form, solo lectura hoy)",cierres ERROR_REVISAR del batch,"Muestra excepciones[] agrupadas; HOY solo permite 'dejar registrado', SIN corregir (ese rol pasa al modulo FASE3 nuevo)",FIN - Revision registrada,SI,NO,NO,NO,SI,BAJA,HANDOFF s16.4 ya documenta que este nodo 'deja de ser donde se decide' una vez el modulo de correccion este activo: pendiente de 're-wire' formal (el nodo sigue existiendo pero su rol conceptual cambio).,MEDIO,"n8n: PREPARAR/LEER/INTERPRETAR/COMBINAR - ...revision, CONSTRUIR - Revision de excepciones, CONFIRMAR - Revision de excepciones, FIN - Revision registrada",
13,"n8n: PUBLICACION (single, post-aprobacion)",cierre aprobado,BUSCAR/CREAR carpeta 04_SALIDAS/SAP y RESULTADOS -> SUBIR SAP -> SUBIR RESULTADO -> BUSCAR/MOVER a 03_PROCESADOS -> Generar marcador -> SUBIR MARCADOR,cierre publicado en Drive + marcador,"SI (Drive, multiples busquedas de carpeta)","SI (Drive: sube 3 archivos, mueve 1)",NO,NO,NO,"MEDIA (cadena secuencial larga sin reintentos automaticos; un fallo detiene TODO antes del marcador, por diseño — ver Sticky Note Publicacion)",,"MUY_ALTO (BR-007, BR-008)",n8n: BUSCAR-*/CREAR-*/SUBIR-*/MOVER-*/EJECUTAR - Generar marcador local,
14,"n8n: PUBLICACION MULTIPLE (modulo independiente, webhook /publicar-listos)",lista de cierres LISTO_PARA_PUBLICAR + batch_token,"Valida batch_token (BR-026), filtra LISTO_PARA_PUBLICAR de forma autoritativa, LOOP por cierre repitiendo la misma cadena del paso 13 (buscar/crear carpetas/subir/mover/marcador) cierre por cierre",publicados/omitidos/fallidos,SI,SI,NO,SI (REDUNDANCIA aparente/defensiva: la cadena de publicacion de un cierre esta duplicada como 2 sub-flujos n8n distintos — el de 'un cierre recien aprobado' [paso13] y el de 'publicacion multiple' [este paso] — en vez de que el paso 13 invoque este loop con 1 elemento),NO,"MEDIA (loop largo, 50 nodos en el canvas para esta sola rama)",Unificar ambas cadenas de publicacion (single y multiple) en una sola implementacion n8n (el loop de este paso podria manejar tambien el caso de 1 solo cierre reemplazando al paso 13),MEDIO: reduce ~17 nodos duplicados y el riesgo de que las dos cadenas diverjan silenciosamente con el tiempo,n8n: FASE3 - ...(publicar) x50 nodos vs BUSCAR-*/SUBIR-*/MOVER-* del paso 13,"Clasificado REDUNDANCIA APARENTE/DEFENSIVA (no REAL): ambas cadenas invocan el MISMO publicar_cierre.py al final y comparten las mismas reglas via Python; lo duplicado es el WIRING n8n, no la logica de negocio en si (que vive en Python y es unica)."
15,"n8n: FASE3 webhooks (revision/correccion, GET /datos, POST /observacion|/pendiente|/corregir)",peticion HTTP del frontend,Lee resultado_batch.json + invoca CAMPOS_CORREGIBLES/aplicar_correccion.py segun el endpoint,JSON de respuesta al frontend,"SI (resultado_batch.json, y el .xlsm original si hay correccion)","SI (OBSERVACIONES_<hash>.jsonl, o REPROCESOS/*.json/.xlsx si hay correccion)",NO,NO (comparten resultado_batch.json como fuente unica),"NO (el auditor decide, la maquina solo ejecuta)","ALTA: sin autenticacion (diferido a rollout, HANDOFF s16.4); Execute Command interpola campos del body en el shell (ver V2_RISKS.csv RISK-001)","Autenticacion basica en los 4 endpoints que mutan estado, y/o pasar argumentos via archivo temporal en vez de interpolacion directa en el string del comando",P0/P1 en entorno no-Codespace,"n8n: FASE3 - Webhook GET/POST *, n8n_frontend/revision_correccion.html",
